Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3323,432,43000.0,42050.60231089701,235.9228589994018,78263.10558899968,8594.700270839603,41.35129156919812,5.375792343633339,43000,50000,54000,58000,69000,74000,77000,77000,78000,78000,78000
GET,/cart,276,0,24000.0,24467.403781717338,202.67178599988256,42797.73434799972,6505.753623188406,3.4345339973213003,0.0,24000,31000,32000,34000,37000,38000,40000,42000,43000,43000,43000
POST,/cart,37,0,34000.0,34312.105899810806,7360.712302000138,55891.323998999724,16068.864864864865,0.4604266590611888,0.0,34000,38000,42000,43000,51000,56000,56000,56000,56000,56000,56000
POST,/cart/checkout,2,0,40000.0,42907.629356500365,39601.08896700058,46214.16974600015,6392.0,0.024887927516821017,0.0,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000
GET,/product/0PUK6V6EV0,119,0,21000.0,20970.38758021003,1625.042489000407,45926.84001999987,7350.789915966387,1.4808316872508505,0.0,21000,24000,26000,28000,33000,40000,43000,43000,46000,46000,46000
GET,/product/1YMWWN1N4O,107,0,19000.0,20959.008722130875,796.4752849993602,45144.06242200039,7396.392523364486,1.3315041221499244,0.0,19000,25000,30000,32000,36000,37000,39000,43000,45000,45000,45000
GET,/product/2ZYFJ3GM2N,85,0,19000.0,21675.739101894065,1192.6255819998914,43424.41638699984,7380.564705882353,1.0577369194648931,0.0,19000,25000,28000,33000,37000,39000,43000,43000,43000,43000,43000
GET,/product/66VCHSJNUP,109,0,21000.0,22102.66637486234,3190.0959470003727,46220.418374000474,7352.5504587155965,1.3563920496667454,0.0,21000,25000,31000,33000,37000,39000,43000,44000,46000,46000,46000
GET,/product/6E92ZMYYFZ,103,0,21000.0,21540.41331027182,1176.1262139998507,40521.08116999989,7340.52427184466,1.2817282671162824,0.0,21000,23000,27000,28000,36000,37000,38000,39000,41000,41000,41000
GET,/product/9SIQT8TOJO,109,0,17000.0,19220.05963422931,791.0961820007287,42738.459444999535,7394.935779816514,1.3563920496667454,0.0,17000,22000,25000,27000,36000,38000,38000,40000,43000,43000,43000
GET,/product/L9ECAV7KIM,104,0,21000.0,21406.926440663476,788.4446580001168,47342.790566000076,7334.932692307692,1.2941722308746928,0.0,22000,25000,28000,29000,34000,37000,41000,43000,47000,47000,47000
GET,/product/LS4PSXUNUM,104,0,21000.0,21822.080360413416,3666.9638109997322,44031.33160499965,7355.778846153846,1.2941722308746928,0.0,21000,25000,28000,32000,36000,37000,38000,42000,44000,44000,44000
GET,/product/OLJCESPC7Z,100,0,19000.0,19734.82585452006,3662.363507000009,41610.799151999345,7386.15,1.2443963758410508,0.0,19000,22000,25000,26000,33000,35000,39000,42000,42000,42000,42000
POST,/setCurrency,72,0,34000.0,35944.42983370832,10200.76973399955,62884.471193000536,9892.805555555555,0.8959653906055566,0.0,34000,42000,49000,49000,53000,55000,62000,63000,63000,63000,63000
,Aggregated,4650,432,34000.0,36602.83525281391,202.67178599988256,78263.10558899968,8300.837849462365,57.864431476608864,5.375792343633339,34000,43000,50000,53000,68000,70000,75000,77000,78000,78000,78000
